id,updated,ship,imo,lat,long,sog,cog,hdg,depPort,etdSchedule,etd,atd,arrPort,etaSchedule,eta,ata
4136,05/04/2018 19:18,Megastar,9773064,60.1469,24.9135,6.3,219,216,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4137,05/04/2018 19:19,Megastar,9773064,60.1445,24.91,11.6,217,217,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4138,05/04/2018 19:20,Megastar,9773064,60.1412,24.9061,14.2,198,199,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4139,05/04/2018 19:21,Star,9364722,59.4462,24.7726,3.7,17,159,EETLL,05/04/2018 19:30,07/04/2018 15:25,2018-04-05 19:21:17,FIHEL,05/04/2018 21:30,05/04/2018 21:26,NULL
4140,05/04/2018 19:22,Megastar,9773064,60.1344,24.9056,15.9,179,179,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4141,05/04/2018 19:22,Star,9364722,59.4469,24.7728,2.8,354,107,EETLL,05/04/2018 19:30,07/04/2018 15:25,2018-04-05 19:21:17,FIHEL,05/04/2018 21:30,05/04/2018 21:26,NULL
4142,05/04/2018 19:22,Megastar,9773064,60.1322,24.9056,16.1,181,181,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4143,05/04/2018 19:23,Star,9364722,59.4478,24.7746,6,46,52,EETLL,05/04/2018 19:30,07/04/2018 15:25,2018-04-05 19:21:17,FIHEL,05/04/2018 21:30,05/04/2018 21:27,NULL
4144,05/04/2018 19:23,Megastar,9773064,60.1272,24.9055,17,181,181,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4145,05/04/2018 19:24,Star,9364722,59.4496,24.7773,11.6,23,22,EETLL,05/04/2018 19:30,07/04/2018 15:25,2018-04-05 19:21:17,FIHEL,05/04/2018 21:30,05/04/2018 21:27,NULL
4146,05/04/2018 19:24,Megastar,9773064,60.1217,24.9053,18.4,182,182,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4147,05/04/2018 19:25,Megastar,9773064,60.1159,24.905,19.2,182,182,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
4148,05/04/2018 19:24,Star,9364722,59.4517,24.7782,13.7,9,6,EETLL,05/04/2018 19:30,07/04/2018 15:25,2018-04-05 19:21:17,FIHEL,05/04/2018 21:30,05/04/2018 21:27,NULL
4149,05/04/2018 19:27,Megastar,9773064,60.11,24.904,19.7,187,187,FIHEL,05/04/2018 19:30,07/04/2018 15:29,2018-04-05 19:18:20,EETLL,05/04/2018 21:30,05/04/2018 21:25,NULL
